Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Afghanistan,AFG,6400,5800,6000,5900,5200,5300,5300,5300,5100,7000,7300,7500,4600,1900,3400,3409,..,..,..,..,..,..,..,..,..,21677,25021,17775,21696,25920,23532.528,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Albania,ALB,..,..,..,..,..,..,..,..,..,600,600,1400,1900,1100,2700,3885,3974,3762,3800,4104,4309,4481,4930,5058,5140,9412,10373.2109418273,10309.1791376912,11196,1992,0,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Algeria,DZA,46200,50500,48400,49400,45700,44100,45600,45900,45400,45500,47000,45100,49600,44200,36400,40202,49274,46015,44315,48531,45692,44822,44136,31026,52731,53088,53286,54292,55516,60066,68096.2679034272,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3420.57075456399,3577.61386138614,3963.0036477332,8580,9144,11759.184,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Angola,AGO,13100,11100,11100,11000,6800,6900,7000,6900,5600,7600,7300,7700,7300,7400,5100,4399,4354,4343,4633,4849,4948,4965,5277,3361,3236,17060,12282,13072,14496,13716,13116,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Antigua and Barbuda,ATG,55500,65000,65000,61700,58000,58000,67300,68200,70800,74000,77700,77700,69300,70100,68200,62070,72001,63361,67163,25700,26985,26175,27746,28356,26371,39865,36533.603996772,33606.0392244309,52572,46404,40046.652,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Argentina,ARG,100500,102300,111800,106200,101600,114000,78500,86300,83300,99500,112400,131400,171600,144600,183600,168815,124493,113178,91657,90518,81298,74162,79465,74649,74546,92847.5065402624,90214.5205338809,101716.268913446,145136.020724733,134521,145583.336,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,2200,4300,4500,2900,4406,2804,2997,3842,5657,5939,6177,5975,6681,7632,8761,5561,6043,852,0,0,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Australia,AUS,238600,266600,283300,294400,230300,255900,283600,324600,347700,405600,396100,371200,394500,378200,384800,382514,388734,536867,529648,324939,342509,352909,353546,393363,403256,572906,593145.002471011,622917,641451,655669,658699,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Austria,AUT,37800,37700,38700,40100,39900,42000,47400,63600,73000,87700,109000,118100,121300,127900,127200,138700,133561,135516,128449,137049,141968,149512,151070,150738,138942,176195,166729.997287091,162715.735981131,166251,162576,152056.52,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Azerbaijan,AZE,..,..,..,..,..,..,..,..,22200,22200,19600,19500,17200,10100,8500,8012,7922,8175,9195,11090,12470,12777,13039,12008,10264,9885,15082,16597,15886,18356,18199,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Bahamas, The",BHS,18100,18000,18300,19500,20200,18900,18900,16700,17700,17700,19300,20100,9100,9300,31100,31416,29395,26493,24455,29817,33211,33723,34402,33433,30267,26395,28393,30640,34188,35388,31211.184,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bahrain,BHR,10500,9600,8800,9400,10000,10900,10000,12900,14700,15200,13400,15400,14400,12300,20900,21303,20492,19752,28508,32488,..,..,..,..,69808,62473,60778.7162603187,63711.9791706662,52452,55980,57444,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bangladesh,BGD,13600,15000,15400,13100,14600,13000,13800,14600,15600,13000,12600,13100,12800,11900,5900,6313,6486,6464,7165,7403,7399,7971,11139,11308,16399,19299.8261758691,26535,26996.2544120399,59064,57996,37219.1157461918,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Barbados,BRB,500,1400,1100,700,700,700,700,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belarus,BLR,..,..,..,..,..,..,..,..,35300,35300,35300,31800,5600,5700,6100,5772,5891,5545,6047,6211,5407,5646,6210,6371,5868,12101,14378,14608,17820,21168,22939,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belgium,BEL,43200,45300,45900,51200,59700,66500,70000,77100,109100,118700,141200,164700,182700,213000,233300,225906,178331,133682,132779,154218,151939,158016,173818,179019,249997,127677.532209862,131577,132099.342541943,130230,134026,138446.155,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19855,31755,59089,71401,112760,120072.361,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Benin,BEN,2100,2700,2600,2600,1100,500,1200,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,..,..,..,..,..,..,..,..,1255.45454545455,1381,1381,1728,648,1208.52,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bhutan,BTN,..,..,..,600,600,600,600,600,600,600,900,900,1000,1000,1100,1138,1297,1948,1890,2306,2467,2566,2720,2772,2706,3053.39992695398,4146.03177501826,3553,5820,8772,4640.388,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bolivia,BOL,15400,17400,15300,15900,16100,15600,15100,14000,12600,15300,16600,31700,34700,32000,24000,21566,20007,20560,28901,25764,25644,21978,24089,21088,19011,37019,40751.4507216495,41974.6792042443,33467,40560,29717.4300151605,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,1100,4300,4768,4530,4394,4570,..,..,..,..,1004,1359,1573.54975701333,1060.06567164179,750.069402985075,552,420,81.06,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Botswana,BWA,3500,3300,4300,4600,4900,5800,6700,6300,3800,3600,4000,4200,4900,5400,5900,6703,7138,7304,7214,7885,8181,6905,7366,6105,6142,7681,7910.25856004678,8422.23447986064,9396,8304,8438.436,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Brazil,BRA,335100,367900,386200,401900,398700,415900,457700,405500,400100,408300,453500,483600,568600,609900,692600,628081,654106,627878,486777,486025,514700,560838,649738,647753,752225,841793,970561,1002565,952307,937437,944557,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Brunei Darussalam,BRN,3700,3600,3400,3500,3600,4400,4400,5100,6700,9600,11800,12200,13600,13600,16200.0009765625,12739,12237,11953,11812,13322,11808,12381,12128,13071,12274,12333,11672,10374,10920,10392,11624,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bulgaria,BGR,37000,38700,40000,39800,35900,37200,15300,16500,17300,16900,14700,13600,12700,14600,15200,12158,6687,2252,4577,7848,9691,12471,12221,15974,11237,11321,12297,11826,11736,11755,12208,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burkina Faso,BFA,2400,3600,2700,2800,2800,2200,2900,2800,3000,3000,3100,3300,1800,1800,3300,3368,1983,1257,1285,1415,1471,1512,1614,1413,1433,4235,3983.15025906736,3856.22456300177,3780,3672,3874.896,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burundi,BDI,600,400,900,900,900,900,900,900,900,900,1000,1000,1400,1400,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cabo Verde,CPV,8100,6100,6700,6700,6700,6700,6600,6800,6800,6800,7100,7400,14600,14800,12100,13010,8745,8735,9434,16612,19905,19862,21086,12236,11560,10363,10658.0712931195,10555.2286515647,8148,7728,7308.192,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4648,4512,3893,3207,3998,4324,3667,3304,5104.72222222222,7191,7432,11897.0432386171,14732,12983,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cameroon,CMR,8200,6100,6200,6200,9700,7100,7000,4100,4100,4200,3800,3800,6500,6600,5400,5580,10103,4720,9524,10337,10696,10925,11650,9471,9501,0,3036,4938,5640,5640,5498.688,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Canada,CAN,351900,343000,333800,380900,370200,346800,257800,258700,243700,253500,282800,305800,310800,317800,319600,963468,982013,263906,1036092,988755,1018480,1042100,1188947,1200361,1198381,1234528.61925597,1245743.61579713,1280198.18557714,1263297.33686341,1290419,1322033,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Central African Republic,CAF,4300,4300,4300,4400,4400,3800,4500,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chad,TCD,2100,2100,1600,1700,1700,1200,1800,1700,1900,1900,2000,2100,1800,1800,1500,1518,716,..,..,..,..,..,..,..,..,699.531448355453,984,664,72,72,0,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chile,CHL,25300,26300,29000,35300,36000,40100,36600,48200,58600,68800,77800,93700,109300,119100,92500,87945,82942,78187,82789,86140,93003,94770,101008,108565,97473,108840,123739,125120,127631,124480,116532,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,China,CHN,102200,127900,159700,176900,159200,196000,190300,200300,261600,325900,397600,493000,470200,510500,547800,572921,840911,932064,946354,1209900,1349269,1542564,1753550,1853088,2140124,2377789,2538667,2779741,3073450,3356756,3616026,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Colombia,COL,124100,123900,118200,118600,127000,116900,124500,147100,167200,181500,193700,195200,224800,234700,208600,199370,190465,179994,171933,153204,162095,175006,185872,187382,196298,226094,237570.829047845,254059.928996848,304365.908,317332.363,363293.312,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Comoros,COM,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Congo, Dem. Rep.",COD,3900,5000,5200,4500,4800,5100,3500,3000,2600,3900,..,..,..,..,..,..,5200,..,..,..,..,..,..,..,..,1945,2295,4781,11448,11580,12476.7018656827,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Congo, Rep.",COG,6400,6700,4400,4500,4700,4100,4800,4700,4900,4900,6300,5400,10200,10300,6000,6257,5235,4505,4783,..,..,..,..,..,..,3755.33363289149,4817,7011,12132,10380,11461.044,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Costa Rica,CRI,8500,8400,9200,10800,11400,12500,13300,15100,16900,18300,26900,20800,24300,36900,32000,24297,32270,32605,31219,33517,36045,36170,37284,36786,33285,41600.5549745151,43354,40081,42831,50239,58680.112,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cote d'Ivoire,CIV,6100,6100,6700,7100,5600,5400,4900,5000,4600,4300,4400,4600,3500,3500,6300,2342,716,..,..,..,..,..,..,..,..,5604,907,415,3912,4032,6108.883,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Croatia,HRV,..,..,..,..,..,..,1900,4100,9200,12000,13300,15000,16700,16800,15900,16955,18258,19340,19751,20482,22031,21641,22391,24728,24613,24766,26743,26456,24305,25161,25183,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cuba,CUB,16000,18700,19400,17600,18900,19400,12000,9900,8600,12500,12800,14400,16800,19700,15700,12264,11728,9773,8998,10937,11484,11533,11874,11686,10653,21235.4502809087,18302.8583708965,15869.7722047845,23292,15468,17592.1785734266,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cyprus,CYP,6100,6400,6400,6600,6700,7600,8000,10300,10800,11500,10900,10600,11500,12000,12100,12551,13321,15081,16908,19073,17392,17530,19131,19399,18556,15318,12430,13296,11724,9000,306,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Czech Republic,CZE,21700,22200,21800,22100,24200,22300,20200,23100,24800,23500,26100,26900,28300,29500,34800,40027,44164,46574,52127,66134,75295,75439,75830,78377,78153,72137,61476,44189,54948,48975,55774.578,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Denmark,DNK,75400,82800,85000,84600,87500,90600,87400,91100,101900,97200,101600,107800,118600,114600,106300,109369,110492,97713,90641,99598,13253,13783,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Djibouti,DJI,3200,3900,2100,3900,3900,3900,3900,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Dominican Republic,DOM,6800,6200,5300,6100,6000,9500,4500,4300,3900,3000,2800,1300,1400,1400,400,..,..,..,..,..,..,..,..,..,..,1552,2286,2303,1908,1584,1421.16,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ecuador,ECU,26300,27000,27600,27300,27800,27900,27900,20300,45000,43400,21800,22500,26200,26900,20200,18419,16523,15407,24801,28422,29844,31016,44842,49162,46485,60835,49193,54250.9226188785,58687,61248,63665.311,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Egypt, Arab Rep.",EGY,31500,29800,30900,33800,35200,19800,25700,34100,31300,38000,39000,41300,41600,39500,44300,47418,41373,41858,42152,42189,44730,47444,51440,57510,56414,104036.125,78726.0909090909,92303,100735.5,95744,101349.925,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,El Salvador,SLV,9400,9700,9500,9400,9600,10700,12400,14600,15500,18800,20000,20900,19100,19400,32000,37098,26059,19407,22063,23660,23964,24879,22465,21056,19339,20961.2770874618,24699,26622,29114,31662,28671,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Equatorial Guinea,GNQ,400,400,400,1400,400,400,400,400,400,400,400,400,600,600,..,..,..,..,..,..,..,..,..,..,..,717.170923379175,2808,8201,19416,14136,22350.1795229667,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,539,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Estonia,EST,..,..,..,..,..,..,..,5500,5700,5700,6500,5100,7800,11400,10600,9199,9133,8324,8522,7814,8350,8183,9214,11478,8592,12207.9705512659,13492,26778,13356,13524,13954.44,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ethiopia,ETH,21600,23700,24400,22900,23600,20600,20000,25000,24200,25600,26200,24800,28100,27100,24900,26624,28128,28359,27204,29546,30961,33644,37528,39804,44154,48783,57728,62136,68131,71166,83940.32,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Fiji,FJI,15800,14200,13100,23700,23600,23500,23200,27200,27000,31000,32600,33600,86900,87900,57300,57776,62768,37685,38732,36920,41886,46866,46359,46467,45595,26127,18142,16011.2858124356,11748,19140,19487,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Finland,FIN,70300,66400,77300,84000,89800,93400,92000,93600,90300,91000,97000,103200,113300,119000,120700,145174,128881,108923,107026,109209,107108,114699,118686,114371,104740,132408.28422807,144467,138914.132653061,138987,140256,96708,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,France,FRA,261200,274400,314400,368200,393200,441700,408000,413700,459800,479000,482000,549900,667500,691800,748600,811776,777756,734679,695865,682263,728081,805731,825471,827851,771675,738003.426442238,754292,739353.599757151,641440,610197,607168,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Gabon,GAB,12300,12300,12500,11000,10700,10400,11300,10800,10900,12000,12000,7100,10000,10100,7300,7445,7492,7474,7990,8342,8505,8524,9057,5654,5423,7516.15985130111,3002,1553,0,0,2765,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,140,1788,1848,35.112,..
